,global_train_batch_size,learning_rate,valid_CELoss,log_dir
0,1024,2.242e-05,,logs/bs_lr_default/global_train_batch_size@1024+learning_rate@2.242e-05
1,256,2.344e-05,,logs/bs_lr_default/global_train_batch_size@256+learning_rate@2.344e-05
2,32,0.00355959,,logs/bs_lr_default/global_train_batch_size@32+learning_rate@0.00355959
3,512,0.0001253,,logs/bs_lr_default/global_train_batch_size@512+learning_rate@0.0001253
4,1024,0.00113129,,logs/bs_lr_default/global_train_batch_size@1024+learning_rate@0.00113129
5,32,7.665e-05,,logs/bs_lr_default/global_train_batch_size@32+learning_rate@7.665e-05
6,32,8.134e-05,,logs/bs_lr_default/global_train_batch_size@32+learning_rate@8.134e-05
7,128,0.00419122,,logs/bs_lr_default/global_train_batch_size@128+learning_rate@0.00419122
8,128,0.0022663,,logs/bs_lr_default/global_train_batch_size@128+learning_rate@0.0022663
9,512,0.0008105,,logs/bs_lr_default/global_train_batch_size@512+learning_rate@0.0008105
10,256,1.352e-05,,logs/bs_lr_default/global_train_batch_size@256+learning_rate@1.352e-05
11,128,1.345e-05,,logs/bs_lr_default/global_train_batch_size@128+learning_rate@1.345e-05
12,32,0.00066636,,logs/bs_lr_default/global_train_batch_size@32+learning_rate@0.00066636
13,128,0.001334,,logs/bs_lr_default/global_train_batch_size@128+learning_rate@0.001334
14,64,0.00084493,,logs/bs_lr_default/global_train_batch_size@64+learning_rate@0.00084493
